Date,Open,High,Low,Close,Adj Close,Volume
2021-07-16,141.869995,142.509995,139.529999,139.710007,138.538651,5914300
2021-07-19,138.320007,138.899994,136.809998,138.789993,137.626343,9371300
2021-07-20,139.020004,140.419998,137.199997,139.550003,138.379990,6020400
2021-07-21,139.649994,142.220001,139.649994,142.169998,140.978012,6161900
2021-07-22,142.000000,142.850006,141.500000,142.440002,141.245758,3862600
2021-07-23,143.449997,144.990005,142.029999,144.880005,143.665298,6310400
2021-07-26,143.949997,144.380005,142.240005,143.500000,142.296875,6253900
2021-07-27,142.490005,143.000000,138.210007,140.929993,139.748398,7575800
2021-07-28,141.270004,142.910004,140.139999,142.440002,141.245758,9303400
2021-07-29,146.500000,151.520004,146.410004,150.990005,149.724075,19446900
2021-07-30,149.199997,150.410004,148.360001,149.800003,148.544052,8401500
2021-08-02,150.000000,152.279999,148.210007,148.860001,147.611923,10823800
2021-08-03,148.910004,149.580002,146.559998,147.949997,146.709549,6223400
2021-08-04,148.020004,149.199997,147.330002,148.220001,146.977295,5556400
2021-08-05,147.240005,147.470001,144.570007,146.830002,145.598953,7169200
2021-08-06,146.130005,148.229996,145.919998,146.279999,145.053558,5732300
2021-08-09,146.789993,147.720001,145.750000,146.919998,145.688187,4966600
2021-08-10,147.320007,147.500000,142.399994,145.869995,144.646988,4197100
2021-08-11,146.059998,146.789993,144.399994,146.679993,145.450195,6216000
2021-08-12,147.759995,148.000000,146.389999,147.149994,145.916260,5777700
2021-08-13,147.000000,149.309998,146.929993,148.639999,147.393768,5762500
2021-08-16,148.399994,149.080002,146.720001,148.130005,146.888046,4410800
2021-08-17,146.949997,147.000000,143.570007,144.410004,143.199234,7256800
2021-08-18,143.839996,144.660004,141.979996,142.179993,140.987930,6546500
2021-08-19,140.649994,141.449997,138.960007,140.610001,139.431107,8661000
2021-08-20,140.610001,142.259995,140.300003,142.089996,140.898682,6138300
2021-08-23,142.649994,144.610001,142.350006,144.139999,142.931488,6936900
2021-08-24,144.589996,145.589996,143.839996,144.460007,143.248825,7066800
2021-08-25,144.460007,145.429993,143.470001,143.869995,142.663757,5721600
2021-08-26,143.190002,143.759995,141.619995,142.380005,141.186264,6825100
2021-08-27,142.199997,144.949997,141.919998,144.850006,143.635544,6273000
2021-08-30,145.589996,147.860001,145.559998,145.940002,144.716400,5263600
2021-08-31,146.800003,147.529999,144.559998,146.690002,145.460114,7820500
2021-09-01,146.839996,148.100006,146.220001,146.449997,145.898453,6451400
2021-09-02,146.699997,146.889999,144.509995,145.119995,144.573471,6006700
2021-09-03,145.119995,145.990005,144.229996,144.630005,144.085327,5505800
2021-09-07,144.679993,144.759995,143.119995,143.750000,143.208633,6361200
2021-09-08,143.360001,143.619995,141.490005,142.520004,141.983261,5981300
2021-09-09,142.470001,143.539993,141.449997,141.580002,141.046799,6190800
2021-09-10,143.130005,146.000000,142.539993,142.679993,142.142654,6260200
2021-09-13,144.020004,144.729996,142.029999,143.410004,142.869919,4312800
2021-09-14,144.470001,144.809998,140.619995,141.139999,140.608459,6442100
2021-09-15,140.809998,141.000000,137.520004,138.240005,137.719391,11289100
2021-09-16,137.320007,138.960007,137.320007,138.399994,137.878769,6719900
2021-09-17,137.809998,138.000000,133.139999,133.600006,133.096863,14550500
2021-09-20,131.470001,133.119995,130.610001,132.759995,132.260010,9647100
2021-09-21,133.589996,133.910004,131.279999,131.750000,131.253815,6175300
2021-09-22,132.589996,133.490005,131.979996,133.009995,132.509064,5163000
2021-09-23,133.750000,135.160004,133.220001,133.910004,133.405685,5918900
2021-09-24,133.110001,134.550003,132.800003,133.880005,133.375809,4554600
2021-09-27,132.429993,134.039993,132.020004,133.479996,132.977295,4319500
2021-09-28,131.750000,132.740005,129.699997,129.899994,129.410782,8851700
2021-09-29,130.589996,131.449997,128.889999,129.279999,128.793121,7037200
